"level_1#","level_1_F","level_1_H","level_1_G","level_1_BF","level_2#","level_2_F","level_2_H","level_2_G","level_2_BF","level_3#","level_3_F","level_3_H","level_3_G","level_3_BF","level_4#","level_4_F","level_4_H","level_4_G","level_4_BF","level_5#","level_5_F","level_5_H","level_5_G","level_5_BF","level_6#","level_6_F","level_6_H","level_6_G","level_6_BF","level_7#","level_7_F","level_7_H","level_7_G","level_7_BF","level_8#","level_8_F","level_8_H","level_8_G","level_8_BF","level_9#","level_9_F","level_9_H","level_9_G","level_9_BF","level_10#","level_10_F","level_10_H","level_10_G","level_10_BF","H0","H_min","last_H_min_update","f_max","node_max"
"38","66.0","10.0","16","5","37","70.0","11.0","15","6","36","74.0","12.0","14","5","35","73.0","12.0","13","6","34","77.0","13.0","12","5","33","81.0","14.0","11","6","32","85.0","15.0","10","5","28","84.0","15.0","9","5","26","83.0","15.0","8","4","25","82.0","15.0","7","5","17.0","10.0","0","88.0","135"
"39","62.0","9.0","17","5","38","66.0","10.0","16","5","37","70.0","11.0","15","6","36","74.0","12.0","14","5","35","73.0","12.0","13","6","34","77.0","13.0","12","5","33","81.0","14.0","11","6","32","85.0","15.0","10","5","28","84.0","15.0","9","5","26","83.0","15.0","8","4","17.0","9.0","0","88.0","135"
"40","62.0","9.0","17","5","38","66.0","10.0","16","5","37","70.0","11.0","15","6","36","74.0","12.0","14","5","35","73.0","12.0","13","6","34","77.0","13.0","12","5","33","81.0","14.0","11","6","32","85.0","15.0","10","5","28","84.0","15.0","9","5","26","83.0","15.0","8","4","17.0","9.0","1","88.0","135"
"41","63.0","9.0","18","4","39","62.0","9.0","17","5","38","66.0","10.0","16","5","37","70.0","11.0","15","6","36","74.0","12.0","14","5","35","73.0","12.0","13","6","34","77.0","13.0","12","5","33","81.0","14.0","11","6","32","85.0","15.0","10","5","28","84.0","15.0","9","5","17.0","9.0","2","88.0","135"
"42","59.0","8.0","19","4","41","63.0","9.0","18","4","39","62.0","9.0","17","5","38","66.0","10.0","16","5","37","70.0","11.0","15","6","36","74.0","12.0","14","5","35","73.0","12.0","13","6","34","77.0","13.0","12","5","33","81.0","14.0","11","6","32","85.0","15.0","10","5","17.0","8.0","0","88.0","135"
"43","60.0","8.0","20","3","42","59.0","8.0","19","4","41","63.0","9.0","18","4","39","62.0","9.0","17","5","38","66.0","10.0","16","5","37","70.0","11.0","15","6","36","74.0","12.0","14","5","35","73.0","12.0","13","6","34","77.0","13.0","12","5","33","81.0","14.0","11","6","17.0","8.0","1","88.0","135"
"44","61.0","8.0","21","4","43","60.0","8.0","20","3","42","59.0","8.0","19","4","41","63.0","9.0","18","4","39","62.0","9.0","17","5","38","66.0","10.0","16","5","37","70.0","11.0","15","6","36","74.0","12.0","14","5","35","73.0","12.0","13","6","34","77.0","13.0","12","5","17.0","8.0","2","88.0","135"
"45","63.0","9.0","18","4","40","62.0","9.0","17","5","38","66.0","10.0","16","5","37","70.0","11.0","15","6","36","74.0","12.0","14","5","35","73.0","12.0","13","6","34","77.0","13.0","12","5","33","81.0","14.0","11","6","32","85.0","15.0","10","5","28","84.0","15.0","9","5","17.0","8.0","3","88.0","135"
"46","64.0","9.0","19","5","41","63.0","9.0","18","4","39","62.0","9.0","17","5","38","66.0","10.0","16","5","37","70.0","11.0","15","6","36","74.0","12.0","14","5","35","73.0","12.0","13","6","34","77.0","13.0","12","5","33","81.0","14.0","11","6","32","85.0","15.0","10","5","17.0","8.0","4","88.0","135"
"47","64.0","9.0","19","5","45","63.0","9.0","18","4","40","62.0","9.0","17","5","38","66.0","10.0","16","5","37","70.0","11.0","15","6","36","74.0","12.0","14","5","35","73.0","12.0","13","6","34","77.0","13.0","12","5","33","81.0","14.0","11","6","32","85.0","15.0","10","5","17.0","8.0","5","88.0","135"
